filename,target,category,src_file,take,duration,sr
4-140034-A-46.wav,church bells,Exterior/urban noises,140034,A,5.0,44100
1-17295-A-29.wav,drinking sipping,Human non speech sounds,17295,A,5.0,44100
4-183487-A-1.wav,rooster,Animals,183487,A,5.0,44100
3-70962-C-4.wav,frog,Animals,70962,C,5.0,44100
5-219318-A-31.wav,mouse click,Interior/domestic sounds,219318,A,5.0,44100
1-57316-A-13.wav,crickets,Natural soundscapes,57316,A,5.0,44100
4-161303-A-5.wav,cat,Animals,161303,A,5.0,44100
1-11687-A-47.wav,airplane,Exterior/urban noises,11687,A,5.0,44100
2-103427-A-3.wav,cow,Animals,103427,A,5.0,44100
4-191687-A-0.wav,dog,Animals,191687,A,5.0,44100
5-207836-B-29.wav,drinking sipping,Human non speech sounds,207836,B,5.0,44100
2-74361-A-47.wav,airplane,Exterior/urban noises,74361,A,5.0,44100
5-181458-A-33.wav,door wood creaks,Interior/domestic sounds,181458,A,5.0,44100
1-46040-A-14.wav,chirping birds,Natural soundscapes,46040,A,5.0,44100
2-50665-A-20.wav,crying baby,Human non speech sounds,50665,A,5.0,44100
5-223810-A-35.wav,washing machine,Interior/domestic sounds,223810,A,5.0,44100
1-137-A-32.wav,keyboard typing,Interior/domestic sounds,137,A,5.0,44100
2-122820-B-36.wav,vacuum cleaner,Interior/domestic sounds,122820,B,5.0,44100
1-56270-A-29.wav,drinking sipping,Human non speech sounds,56270,A,5.0,44100
1-34119-A-1.wav,rooster,Animals,34119,A,5.0,44100
5-223176-A-37.wav,clock alarm,Interior/domestic sounds,223176,A,5.0,44100
1-18527-B-44.wav,engine,Exterior/urban noises,18527,B,5.0,44100
3-197408-A-8.wav,sheep,Animals,197408,A,5.0,44100
4-251645-B-49.wav,hand saw,Exterior/urban noises,251645,B,5.0,44100
3-166125-A-23.wav,breathing,Human non speech sounds,166125,A,5.0,44100
5-222041-A-9.wav,crow,Animals,222041,A,5.0,44100
3-157487-A-10.wav,rain,Natural soundscapes,157487,A,5.0,44100
5-203128-A-0.wav,dog,Animals,203128,A,5.0,44100
4-183882-B-28.wav,snoring,Human non speech sounds,183882,B,5.0,44100
1-110537-A-22.wav,clapping,Human non speech sounds,110537,A,5.0,44100
3-233151-A-2.wav,pig,Animals,233151,A,5.0,44100
2-188822-B-40.wav,helicopter,Exterior/urban noises,188822,B,5.0,44100
1-47819-A-5.wav,cat,Animals,47819,A,5.0,44100
3-128160-A-44.wav,engine,Exterior/urban noises,128160,A,5.0,44100
3-166546-A-34.wav,can opening,Interior/domestic sounds,166546,A,5.0,44100
2-99796-A-32.wav,keyboard typing,Interior/domestic sounds,99796,A,5.0,44100
5-160614-B-48.wav,fireworks,Exterior/urban noises,160614,B,5.0,44100
4-218199-G-35.wav,washing machine,Interior/domestic sounds,218199,G,5.0,44100
1-84704-A-39.wav,glass breaking,Interior/domestic sounds,84704,A,5.0,44100
5-181977-A-35.wav,washing machine,Interior/domestic sounds,181977,A,5.0,44100
5-221950-A-22.wav,clapping,Human non speech sounds,221950,A,5.0,44100
1-60997-B-20.wav,crying baby,Human non speech sounds,60997,B,5.0,44100
5-204352-A-13.wav,crickets,Natural soundscapes,204352,A,5.0,44100
5-250026-B-30.wav,door wood knock,Interior/domestic sounds,250026,B,5.0,44100
5-242932-A-26.wav,laughing,Human non speech sounds,242932,A,5.0,44100
